Grazing	Density	Time	ID	Consumption
grazed	high	4	R38	18,6820809
grazed	high	4	R39	0,541149127
grazed	high	4	R40	
non-grazed	low	5	R1	9,19763941
non-grazed	low	5	R2	7,4705389
non-grazed	low	5	R3	1,68421053
non-grazed	low	5	R4	2,52750745
non-grazed	low	5	R5	4,83675767
non-grazed	low	5	R6	
non-grazed	low	5	R7	8,98026316
non-grazed	low	5	R8	2,09370107
non-grazed	low	5	R9	1,37343358
non-grazed	low	5	R10	
grazed	low	5	R11	5,20116242
grazed	low	5	R12	11,798627
grazed	low	5	R13	0,192669173
grazed	low	5	R14	13,5714286
grazed	low	5	R15	3,8770798
grazed	low	5	R16	
grazed	low	5	R17	11,2631579
grazed	low	5	R18	5,11739079
grazed	low	5	R19	0,321733746
grazed	low	5	R20	
non-grazed	high	5	R21	0,207420495
non-grazed	high	5	R22	4,072
non-grazed	high	5	R24	2,37833656
non-grazed	high	5	R25	
non-grazed	high	5	R26	0,3
non-grazed	high	5	R27	1,73283951
non-grazed	high	5	R28	7,58209607
non-grazed	high	5	R29	5,31469388
non-grazed	high	5	R30	0,6
grazed	high	5	R31	-0,943686007
grazed	high	5	R32	-0,206694561
grazed	high	5	R33	0,2
grazed	high	5	R34	6,61724138
grazed	high	5	R35	
grazed	high	5	R36	0,931457801
grazed	high	5	R37	5,98529412
grazed	high	5	R38	4,48823529
grazed	high	5	R39	-0,025925926
grazed	high	5	R40	10,2035377
non-grazed	low	6	R1	
non-grazed	low	6	R2	2,32611346
non-grazed	low	6	R3	4,35443038
non-grazed	low	6	R4	1,51898734
non-grazed	low	6	R5	5,54471119
non-grazed	low	6	R6	0,101265823
non-grazed	low	6	R7	18,6329114
non-grazed	low	6	R8	7,58947927
non-grazed	low	6	R9	
non-grazed	low	6	R10	3,96061885
grazed	low	6	R11	
grazed	low	6	R12	15,4936709
grazed	low	6	R13	3,9284606
grazed	low	6	R14	8,81012658
grazed	low	6	R15	2,11722841
grazed	low	6	R16	2,12658228
grazed	low	6	R17	2,2278481
grazed	low	6	R18	15,3913904
grazed	low	6	R19	
grazed	low	6	R20	1,01265823
non-grazed	high	6	R21	0,877785083
non-grazed	high	6	R22	7,80246914
non-grazed	high	6	R23	4,32081969
non-grazed	high	6	R24	4,15415822
non-grazed	high	6	R25	22,617284
non-grazed	high	6	R26	0,38602218
non-grazed	high	6	R27	9,28820367
non-grazed	high	6	R28	6,11161388
non-grazed	high	6	R29	4,92585846
non-grazed	high	6	R30	4,65164465
grazed	high	6	R31	11,8419753
grazed	high	6	R32	19,0127607
grazed	high	6	R33	0,203340595
grazed	high	6	R34	4,47063875
grazed	high	6	R35	2,93672094
grazed	high	6	R36	-0,005867253
grazed	high	6	R37	9,97180058
grazed	high	6	R38	3,0617284
grazed	high	6	R39	2,31481481
grazed	high	6	R40	13,7296844
non-grazed	low	7	R1	-0,949545473
non-grazed	low	7	R2	7,7084665
non-grazed	low	7	R3	0,851453604
non-grazed	low	7	R4	2,28723238
non-grazed	low	7	R5	0,193316872
non-grazed	low	7	R6	1,49733272
non-grazed	low	7	R7	-0,798002181
non-grazed	low	7	R8	5,13580247
non-grazed	low	7	R9	0,121969359
non-grazed	low	7	R10	2,4055988
grazed	low	7	R11	3,75623851
grazed	low	7	R12	4,43597884
grazed	low	7	R13	0,074864901
grazed	low	7	R14	3,18742985
grazed	low	7	R15	-0,099847793
grazed	low	7	R16	0,009365688
grazed	low	7	R17	0,096552201
grazed	low	7	R18	1,87333654
grazed	low	7	R19	3,15250125
grazed	low	7	R20	4,05512489
non-grazed	high	7	R21	1,87012987
non-grazed	high	7	R22	2,8419779
non-grazed	high	7	R23	-0,804585606
non-grazed	high	7	R24	1,45411345
non-grazed	high	7	R25	1,03896104
non-grazed	high	7	R26	0,311688312
non-grazed	high	7	R27	
non-grazed	high	7	R28	0,347107438
non-grazed	high	7	R29	1,10965957
non-grazed	high	7	R30	-0,90945066
grazed	high	7	R31	3,18600228
grazed	high	7	R32	3,53246753
grazed	high	7	R33	1,98944282
grazed	high	7	R34	0,01686142
grazed	high	7	R35	3,66451426
grazed	high	7	R36	0,831168831
grazed	high	7	R37	
grazed	high	7	R38	9,85755052
grazed	high	7	R39	0,001241786
grazed	high	7	R40	1,99454866
non-grazed	low	8	R1	19,3980186
non-grazed	low	8	R2	
non-grazed	low	8	R3	11,0769231
non-grazed	low	8	R4	9,94871795
non-grazed	low	8	R5	0,776668624
non-grazed	low	8	R6	13,1246027
non-grazed	low	8	R7	2,06551544
non-grazed	low	8	R8	0,304648863
non-grazed	low	8	R9	12,8484848
non-grazed	low	8	R10	0,108766683
grazed	low	8	R11	4,0220568
grazed	low	8	R12	
grazed	low	8	R13	0,05931418
grazed	low	8	R14	14,5641026
grazed	low	8	R15	8,68809797
grazed	low	8	R16	3,16574148
grazed	low	8	R17	17,1282051
grazed	low	8	R18	3,19327731
grazed	low	8	R19	5,02564103
grazed	low	8	R20	7,38461538
non-grazed	high	8	R21	-0,024385871
non-grazed	high	8	R22	0,750600211
non-grazed	high	8	R23	0,456876457
non-grazed	high	8	R24	4,94482546
non-grazed	high	8	R25	0,922503939
non-grazed	high	8	R26	0,218803419
non-grazed	high	8	R27	5,43589744
non-grazed	high	8	R28	0,770387507
non-grazed	high	8	R29	6,42613562
non-grazed	high	8	R30	1,02564103
grazed	high	8	R31	0,25113827
grazed	high	8	R32	0,405994006
grazed	high	8	R33	0,170562403
grazed	high	8	R34	4,1025641
grazed	high	8	R35	2,76923077
grazed	high	8	R36	0,003299649
grazed	high	8	R37	3,56580414
grazed	high	8	R38	2,04515882
grazed	high	8	R39	0,769933263
grazed	high	8	R40	0
non-grazed	low	9	R1	15,0508951
non-grazed	low	9	R2	3,51485802
non-grazed	low	9	R3	5,74720329
non-grazed	low	9	R4	4,7766363
non-grazed	low	9	R5	2,46061476
non-grazed	low	9	R6	12,3068783
non-grazed	low	9	R7	0,628246753
non-grazed	low	9	R8	5,77118994
non-grazed	low	9	R9	0,415584416
non-grazed	low	9	R10	3,65217391
grazed	low	9	R11	3,83809294
grazed	low	9	R12	5,51410764
grazed	low	9	R13	6,4312058
grazed	low	9	R14	0,176623377
grazed	low	9	R15	3,07864358
grazed	low	9	R16	2,07792208
grazed	low	9	R17	2,30998908
grazed	low	9	R18	5,03197387
grazed	low	9	R19	2,5974026
grazed	low	9	R20	6,59317716
non-grazed	high	9	R21	0,340909091
non-grazed	high	9	R22	-0,394070576
non-grazed	high	9	R23	-0,301605567
non-grazed	high	9	R24	2,46517119
non-grazed	high	9	R25	0,311688312
non-grazed	high	9	R26	-0,291466922
non-grazed	high	9	R27	5,16233766
non-grazed	high	9	R28	
non-grazed	high	9	R29	
non-grazed	high	9	R30	
grazed	high	9	R31	0,161490683
grazed	high	9	R32	0,356801094
grazed	high	9	R33	1,70170202
grazed	high	9	R34	-0,178914741
grazed	high	9	R35	3,47749338
grazed	high	9	R36	2,88193939
grazed	high	9	R37	1,40346804
grazed	high	9	R38	
grazed	high	9	R39	
grazed	high	9	R40	
non-grazed	low	10	R1	4,63355263
non-grazed	low	10	R2	1,60648464
non-grazed	low	10	R3	-0,102816901
non-grazed	low	10	R4	4,19418283
non-grazed	low	10	R5	0,212828947
non-grazed	low	10	R6	4,57777778
non-grazed	low	10	R7	18,4780255
non-grazed	low	10	R8	27,4651163
non-grazed	low	10	R9	12,3259681
non-grazed	low	10	R10	11,6275261
grazed	low	10	R11	25,0943231
grazed	low	10	R12	8,10461095
grazed	low	10	R13	2,40277778
grazed	low	10	R14	4,19814241
grazed	low	10	R15	4,82122186
grazed	low	10	R16	0,307991361
grazed	low	10	R17	7,99710983
grazed	low	10	R18	15,5969639
grazed	low	10	R19	5,08496868
grazed	low	10	R20	12,4271984
non-grazed	high	10	R21	-0,216346154
non-grazed	high	10	R22	1,58097983
non-grazed	high	10	R23	2,10806452
non-grazed	high	10	R24	2,01869159
non-grazed	high	10	R25	4,7
non-grazed	high	10	R26	5,08271889
non-grazed	high	10	R27	1,38132678
non-grazed	high	10	R28	3,08828633
non-grazed	high	10	R29	-0,357425743
non-grazed	high	10	R30	6,8649635
grazed	high	10	R31	11,7870787
grazed	high	10	R32	1,31290323
grazed	high	10	R33	11,2663366
grazed	high	10	R34	3,4
grazed	high	10	R35	6,8
grazed	high	10	R36	20,9305085
grazed	high	10	R37	4,09959016
grazed	high	10	R38	1,18013245
grazed	high	10	R39	2,4131016
grazed	high	10	R40	22,2900498
non-grazed	low	11	R1	
non-grazed	low	11	R2	14,6835443
non-grazed	low	11	R3	2,53663755
non-grazed	low	11	R4	0,19087972
non-grazed	low	11	R5	13,4683544
non-grazed	low	11	R6	14,5001194
non-grazed	low	11	R7	11,192084
non-grazed	low	11	R8	11,1279831
non-grazed	low	11	R9	2,90798097
non-grazed	low	11	R10	25,3001225
grazed	low	11	R11	
grazed	low	11	R12	1,82612607
grazed	low	11	R13	3,64897351
grazed	low	11	R14	4,45237601
grazed	low	11	R15	1,72151899
grazed	low	11	R16	7,37463913
grazed	low	11	R17	-0,00244505
grazed	low	11	R18	6,13769804
grazed	low	11	R19	5,67245609
grazed	low	11	R20	11,8481013
non-grazed	high	11	R21	6,089772
non-grazed	high	11	R22	4,50749118
non-grazed	high	11	R23	0,715540563
non-grazed	high	11	R24	
non-grazed	high	11	R25	5,48313485
non-grazed	high	11	R26	3,65420841
non-grazed	high	11	R27	6,29396275
non-grazed	high	11	R28	9,12034683
non-grazed	high	11	R29	8,21542491
non-grazed	high	11	R30	5,97468354
grazed	high	11	R31	5,67088608
grazed	high	11	R32	0,596692612
grazed	high	11	R33	1,91225765
grazed	high	11	R34	
grazed	high	11	R35	14,4937919
grazed	high	11	R36	5,36226643
grazed	high	11	R37	-0,404019314
grazed	high	11	R38	0,609719395
grazed	high	11	R39	4,8407137
grazed	high	11	R40	18,8753115
non-grazed	low	12	R1	0,708860759
non-grazed	low	12	R2	14,7069777
non-grazed	low	12	R3	1,51898734
non-grazed	low	12	R4	
non-grazed	low	12	R5	5,11217809
non-grazed	low	12	R6	20,0243788
non-grazed	low	12	R7	3,23707082
non-grazed	low	12	R8	2,13134773
non-grazed	low	12	R9	0,202531646
non-grazed	low	12	R10	1,01933143
grazed	low	12	R11	20,8252191
grazed	low	12	R12	4,65735487
grazed	low	12	R13	9,8234151
grazed	low	12	R14	
grazed	low	12	R15	21,1877911
grazed	low	12	R16	1,21265823
grazed	low	12	R17	19,1001651
grazed	low	12	R18	0,002614845
grazed	low	12	R19	18,5262314
grazed	low	12	R20	6,79031184
non-grazed	high	12	R21	0,179975917
non-grazed	high	12	R22	1,4363646
non-grazed	high	12	R23	1,72832677
non-grazed	high	12	R24	19,5800289
non-grazed	high	12	R25	1,19665757
non-grazed	high	12	R26	1,84787319
non-grazed	high	12	R27	13,1263055
non-grazed	high	12	R28	7,2866634
non-grazed	high	12	R29	9,87067759
non-grazed	high	12	R30	6,70656895
grazed	high	12	R31	3,46263781
grazed	high	12	R32	6,07432911
grazed	high	12	R33	4,4556962
grazed	high	12	R34	13,061631
grazed	high	12	R35	18,2307074
grazed	high	12	R36	11,6818408
grazed	high	12	R37	8,01134876
grazed	high	12	R38	3,24210526
grazed	high	12	R39	0,401749137
grazed	high	12	R40	2,22689814
non-grazed	low	13	R1	
non-grazed	low	13	R2	14,7848101
non-grazed	low	13	R3	20,085766
non-grazed	low	13	R4	17,2227994
non-grazed	low	13	R5	2,68781767
non-grazed	low	13	R6	14,5828922
non-grazed	low	13	R7	4,57173747
non-grazed	low	13	R8	19,7468354
non-grazed	low	13	R9	6,09722184
non-grazed	low	13	R10	13,4683544
grazed	low	13	R11	
grazed	low	13	R12	17,1134074
grazed	low	13	R13	3,42239781
grazed	low	13	R14	0,010273344
grazed	low	13	R15	7,41015461
